"area","Reporting Economy","Year","value"
"AFG","China","2001","0"
"AFG","France","2001","0"
"AFG","Italy","2001","0"
"AFG","China","2002","0"
"AFG","France","2002","0"
"AFG","Italy","2002","0"
"AFG","China","2003","0"
"AFG","France","2003","0"
"AFG","Italy","2003","0"
"AFG","China","2004","0"
"AFG","France","2004","1.24167303024095"
"AFG","Italy","2004","0"
"AFG","China","2005","0"
"AFG","France","2005","3.73078644978361"
"AFG","Italy","2005","0"
"AFG","China","2006","0"
"AFG","France","2006","1.25448320936948"
"AFG","Italy","2006","0"
"AFG","China","2007","0"
"AFG","France","2007","0"
"AFG","Italy","2007","0"
"AFG","China","2008","113.91"
"AFG","France","2008","0"
"AFG","Italy","2008","-7.82217013952466"
"AFG","China","2009","16.39"
"AFG","France","2009","0"
"AFG","Italy","2009","-8.59909730316194"
"AFG","China","2010","1.91"
"AFG","France","2010",".."
"AFG","Italy","2010","-6.66185459144819"
"AFG","China","2011","295.54"
"AFG","France","2011",".."
"AFG","Italy","2011","-5.93587310854863"
"AFG","China","2012","17.61"
"AFG","France","2012",".."
"AFG","Italy","2012","-5.39641832006928"
"ALB","Austria","2001","-1.78969315710821"
"ALB","Belgium","2001","0"
"ALB","Bulgaria","2001","0"
"ALB","Croatia","2001","0"
"ALB","Czech Republic","2001","0"
"ALB","France","2001","30.4247836708396"
"ALB","Germany","2001","0"
"ALB","Greece","2001","0"
"ALB","Italy","2001","0"
"ALB","Luxembourg","2001","0"
"ALB","Poland","2001","0"
"ALB","Turkey","2001","0"
"ALB","United States","2001",".."
"ALB","Austria","2002","0"
"ALB","Belgium","2002","0"
"ALB","Bulgaria","2002","0"
"ALB","Croatia","2002","0"
"ALB","Czech Republic","2002","0"
"ALB","France","2002","1.88226436402993"
"ALB","Germany","2002","12.2347183661945"
"ALB","Greece","2002","0"
"ALB","Italy","2002","0"
"ALB","Luxembourg","2002","0"
"ALB","Poland","2002","-3.96872711072074"
"ALB","Turkey","2002","0"
"ALB","United States","2002","0"
"ALB","Austria","2003","0"
"ALB","Belgium","2003","0"
"ALB","Bulgaria","2003","0"
"ALB","Croatia","2003","0"
"ALB","Czech Republic","2003","0"
"ALB","France","2003","3.38587458269096"
"ALB","Germany","2003","10.1576237480729"
"ALB","Greece","2003","35.0403776830235"
"ALB","Italy","2003","0"
"ALB","Luxembourg","2003","0"
"ALB","Poland","2003","0"
"ALB","Turkey","2003","0"
"ALB","United States","2003","-1"
"ALB","Austria","2004","152.725782719636"
"ALB","Belgium","2004","0"
"ALB","Bulgaria","2004","0"
"ALB","Croatia","2004","0"
"ALB","Czech Republic","2004","0"
"ALB","France","2004","-2.48334606048189"
"ALB","Germany","2004","4.96669212096379"
"ALB","Greece","2004","5.97128631117568"
