"area","Reporting Economy","Year","value"
"AFG","China","2001","0"
"AFG","Denmark","2001","0"
"AFG","Italy","2001","0"
"AFG","Pakistan","2001","0"
"AFG","Turkey","2001","0"
"AFG","UnitedStates","2001","0"
"AFG","China","2002","0"
"AFG","Denmark","2002","0"
"AFG","Italy","2002","0"
"AFG","Pakistan","2002","0"
"AFG","Turkey","2002","0"
"AFG","UnitedStates","2002","0"
"AFG","China","2003","0"
"AFG","Denmark","2003","0"
"AFG","Italy","2003","0"
"AFG","Pakistan","2003","0"
"AFG","Turkey","2003","0"
"AFG","UnitedStates","2003","0"
"AFG","China","2004","0"
"AFG","Denmark","2004","0"
"AFG","Italy","2004","0"
"AFG","Pakistan","2004","0"
"AFG","Turkey","2004","0"
"AFG","UnitedStates","2004","6"
"AFG","China","2005","0"
"AFG","Denmark","2005","0"
"AFG","Italy","2005","0"
"AFG","Pakistan","2005","0"
"AFG","Turkey","2005","0"
"AFG","UnitedStates","2005","6"
"AFG","China","2006","0.67"
"AFG","Denmark","2006","0"
"AFG","Italy","2006","0"
"AFG","Pakistan","2006","16.5"
"AFG","Turkey","2006","0"
"AFG","UnitedStates","2006","6"
"AFG","China","2007","0.77"
"AFG","Denmark","2007","59.109806316868"
"AFG","Italy","2007","1.50154128796912"
"AFG","Pakistan","2007","18.7"
"AFG","Turkey","2007","0"
"AFG","UnitedStates","2007","6"
"AFG","China","2008","114.69"
"AFG","Denmark","2008","75.6873356165679"
"AFG","Italy","2008","1.41953333537449"
"AFG","Pakistan","2008","26.9"
"AFG","Turkey","2008","0"
"AFG","UnitedStates","2008","6"
"AFG","China","2009","181.32"
"AFG","Denmark","2009","77.0698059767634"
"AFG","Italy","2009","0.576240176905734"
"AFG","Pakistan","2009","18.4"
"AFG","Turkey","2009","0"
"AFG","UnitedStates","2009","3"
"AFG","China","2010","168.59"
"AFG","Denmark","2010","106.888995777885"
"AFG","Italy","2010","0.921977950028795"
"AFG","Pakistan","2010","22.2"
"AFG","Turkey","2010","2"
"AFG","UnitedStates","2010","3"
"AFG","China","2011","465.13"
"AFG","Denmark","2011","0"
"AFG","Italy","2011","2.25138673777943"
"AFG","Pakistan","2011","41.2"
"AFG","Turkey","2011","1"
"AFG","UnitedStates","2011","3"
"AFG","China","2012","482.74"
"AFG","Denmark","2012","0"
"AFG","Italy","2012","0"
"AFG","Pakistan","2012","0"
"AFG","Turkey","2012","1"
"AFG","UnitedStates","2012","3"
"ALB","World","2001","326.977004760161"
"ALB","Developedeconomies","2001","250.874902965946"
"ALB","Europe","2001","224.542072500915"
"ALB","EuropeanUnion","2001","224.542072500915"
"ALB","Austria","2001","0"
"ALB","Bulgaria","2001","12.5551592823142"
"ALB","Croatia","2001","1.63204686927865"
"ALB","Cyprus","2001","0"
"ALB","CzechRepublic","2001","0"
"ALB","France","2001","1.36946173562798"
"ALB","Germany","2001","11.3055510801904"
"ALB","Greece","2001","162.127835957525"
"ALB","Hungary","2001","0"
"ALB","Italy","2001","34.709322592457"
"ALB","Netherlands","2001","0.576499450750641"
"ALB","Romania","2001","0"
"ALB","Slovenia","2001","0"
"ALB","UnitedKingdom","2001","0"
"ALB","OtherdevelopedEurope","2001","0"
"ALB","Monaco","2001","0"
"ALB","Norway","2001","0"
"ALB","Switzerland","2001","0"
"ALB","NorthAmerica","2001","26.3328304650311"
"ALB","Canada","2001","0"
"ALB","UnitedStates","2001","26.3328304650311"
"ALB","Otherdevelopedcountries","2001","0"
"ALB","Israel","2001","0"
"ALB","Developingeconomies","2001","49.6367191504943"
"ALB","Africa","2001","0"
"ALB","NorthAfrica","2001","0"
"ALB","Egypt","2001","0"
"ALB","Asia","2001","49.3656902233614"
"ALB","EastAsia","2001",".."
"ALB","China","2001",".."
"ALB","WestAsia","2001","49.3656023434639"
"ALB","Kuwait","2001","0"
"ALB","Lebanon","2001","6.93241303551812"
"ALB","SaudiArabia","2001","8.7618747711461"
"ALB","Turkey","2001","33.6713145367997"
"ALB","UnitedArabEmirates","2001","0"
"ALB","Transitioneconomies","2001","5.19782497253753"
"ALB","South-EastEurope","2001","5.19782497253753"
"ALB","Montenegro","2001","0"
"ALB","TheFYRofMacedonia","2001","0"
"ALB","Yugoslavia(former)","2001","5.15796411570853"
"ALB","Unspecified","2001","21.2675576711827"
"ALB","World","2002","360.246979213399"
"ALB","Developedeconomies","2002","286.915911470016"
"ALB","Europe","2002","250.330409750262"
"ALB","EuropeanUnion","2002","250.330409750262"
"ALB","Austria","2002","0"
"ALB","Bulgaria","2002","13.2350979512487"
"ALB","Croatia","2002","1.66185883056677"
"ALB","Cyprus","2002","0"
"ALB","CzechRepublic","2002","0"
"ALB","France","2002","1.38624943921041"
"ALB","Germany","2002","12.5762299985046"
"ALB","Greece","2002","180.486376551518"
"ALB","Hungary","2002","0"
"ALB","Italy","2002","40.1263421564229"
"ALB","Netherlands","2002","0.587027067444295"
"ALB","Romania","2002","0"
"ALB","Slovenia","2002","0"
"ALB","UnitedKingdom","2002","0"
"ALB","OtherdevelopedEurope","2002","0"
"ALB","Monaco","2002","0"
