"area","Reporting Economy","Year","value"
"AFG","Estonia","2001","0"
"AFG","Germany","2001","0"
"AFG","Italy","2001","0"
"AFG","Lithuania","2001","0"
"AFG","Malawi","2001","0"
"AFG","Romania","2001","0"
"AFG","SaudiArabia","2001","0"
"AFG","UnitedStates","2001","0"
"AFG","Estonia","2002","0"
"AFG","Germany","2002","0"
"AFG","Italy","2002","0"
"AFG","Lithuania","2002","0"
"AFG","Malawi","2002","0"
"AFG","Romania","2002","0"
"AFG","SaudiArabia","2002","0"
"AFG","UnitedStates","2002","0"
"AFG","Estonia","2003","0"
"AFG","Germany","2003","0"
"AFG","Italy","2003","0"
"AFG","Lithuania","2003","0"
"AFG","Malawi","2003","0"
"AFG","Romania","2003","0"
"AFG","SaudiArabia","2003","1"
"AFG","UnitedStates","2003","0"
"AFG","Estonia","2004","0"
"AFG","Germany","2004","0"
"AFG","Italy","2004","0"
"AFG","Lithuania","2004","0"
"AFG","Malawi","2004","0"
"AFG","Romania","2004","-0.700303589055894"
"AFG","SaudiArabia","2004","0"
"AFG","UnitedStates","2004","0"
"AFG","Estonia","2005","0.527284484902751"
"AFG","Germany","2005","0"
"AFG","Italy","2005","0"
"AFG","Lithuania","2005","0"
"AFG","Malawi","2005","0"
"AFG","Romania","2005","0"
"AFG","SaudiArabia","2005","1"
"AFG","UnitedStates","2005","0"
"AFG","Estonia","2006","0"
"AFG","Germany","2006","0"
"AFG","Italy","2006","0"
"AFG","Lithuania","2006","0"
"AFG","Malawi","2006","0"
"AFG","Romania","2006","0"
"AFG","SaudiArabia","2006","0"
"AFG","UnitedStates","2006","0"
"AFG","Estonia","2007","0"
"AFG","Germany","2007","0"
"AFG","Italy","2007","0"
"AFG","Lithuania","2007","0"
"AFG","Malawi","2007","0"
"AFG","Romania","2007","0"
"AFG","SaudiArabia","2007","0"
"AFG","UnitedStates","2007","0"
"AFG","Estonia","2008","0"
"AFG","Germany","2008","0"
"AFG","Italy","2008","70.5606621012927"
"AFG","Lithuania","2008","0"
"AFG","Malawi","2008","0"
"AFG","Romania","2008","0"
"AFG","SaudiArabia","2008","0"
"AFG","UnitedStates","2008","1"
"AFG","Estonia","2009","0"
"AFG","Germany","2009","1.38919180988077"
"AFG","Italy","2009","77.4613353189515"
"AFG","Lithuania","2009","0"
"AFG","Malawi","2009","0"
"AFG","Romania","2009","0"
"AFG","SaudiArabia","2009","0"
"AFG","UnitedStates","2009","2"
"AFG","Estonia","2010","0"
"AFG","Germany","2010","0"
"AFG","Italy","2010","63.824010489441"
"AFG","Lithuania","2010","1.5347250731872"
"AFG","Malawi","2010","4.3"
"AFG","Romania","2010","0"
"AFG","SaudiArabia","2010","0"
"AFG","UnitedStates","2010","2"
"AFG","Estonia","2011","0"
"AFG","Germany","2011","0"
"AFG","Italy","2011","67.2407920984771"
"AFG","Lithuania","2011","0"
"AFG","Malawi","2011","0"
"AFG","Romania","2011","0"
"AFG","SaudiArabia","2011","0"
"AFG","UnitedStates","2011","3"
"AFG","Estonia","2012","0"
"AFG","Germany","2012","0"
"AFG","Italy","2012","64.9754462966437"
"AFG","Lithuania","2012","0"
"AFG","Malawi","2012","0"
"AFG","Romania","2012","0"
"AFG","SaudiArabia","2012","0"
"AFG","UnitedStates","2012","0"
"ALB","Belgium","2001","0"
"ALB","Bulgaria","2001","0"
"ALB","Croatia","2001","0"
"ALB","Greece","2001","0"
"ALB","Hungary","2001","0"
"ALB","Italy","2001","0"
"ALB","Luxembourg","2001","0"
"ALB","Romania","2001","0"
"ALB","Turkey","2001","0"
"ALB","Belgium","2002","0"
"ALB","Bulgaria","2002","0"
"ALB","Croatia","2002","0"
"ALB","Greece","2002","0"
"ALB","Hungary","2002","0"
"ALB","Italy","2002","0"
"ALB","Luxembourg","2002","0"
"ALB","Romania","2002","0"
"ALB","Turkey","2002","0"
"ALB","Belgium","2003","0"
"ALB","Bulgaria","2003","0"
"ALB","Croatia","2003","0"
"ALB","Greece","2003","1.3144552014934"
"ALB","Hungary","2003","0"
"ALB","Italy","2003","0"
"ALB","Luxembourg","2003","0"
"ALB","Romania","2003","0"
"ALB","Turkey","2003","0"
"ALB","Belgium","2004","0"
