"area","Reporting Economy","Year","value"
"AFG","Bulgaria","2001","0"
"AFG","Cyprus","2001","0"
"AFG","Italy","2001","0"
"AFG","Korea,Republicof","2001","0"
"AFG","Malawi","2001","0"
"AFG","NewZealand","2001","0"
"AFG","Romania","2001","0"
"AFG","SaudiArabia","2001","0"
"AFG","UnitedStates","2001",".."
"AFG","Bulgaria","2002","0"
"AFG","Cyprus","2002","0"
"AFG","Italy","2002","0"
"AFG","Korea,Republicof","2002","0"
"AFG","Malawi","2002","0"
"AFG","NewZealand","2002","0"
"AFG","Romania","2002","0"
"AFG","SaudiArabia","2002","0"
"AFG","UnitedStates","2002",".."
"AFG","Bulgaria","2003","0"
"AFG","Cyprus","2003","0"
"AFG","Italy","2003","0"
"AFG","Korea,Republicof","2003","0.643"
"AFG","Malawi","2003","0"
"AFG","NewZealand","2003","0"
"AFG","Romania","2003","0"
"AFG","SaudiArabia","2003","0"
"AFG","UnitedStates","2003",".."
"AFG","Bulgaria","2004","0"
"AFG","Cyprus","2004","0"
"AFG","Italy","2004","0"
"AFG","Korea,Republicof","2004","0.821"
"AFG","Malawi","2004","0"
"AFG","NewZealand","2004","0"
"AFG","Romania","2004","-0.742015364498202"
"AFG","SaudiArabia","2004","0"
"AFG","UnitedStates","2004",".."
"AFG","Bulgaria","2005","0"
"AFG","Cyprus","2005","0"
"AFG","Italy","2005","0"
"AFG","Korea,Republicof","2005","1.019"
"AFG","Malawi","2005","0"
"AFG","NewZealand","2005","0"
"AFG","Romania","2005","0"
"AFG","SaudiArabia","2005","8"
"AFG","UnitedStates","2005",".."
"AFG","Bulgaria","2006","0"
"AFG","Cyprus","2006","0.50046029176835"
"AFG","Italy","2006","0"
"AFG","Korea,Republicof","2006","1.281"
"AFG","Malawi","2006","0"
"AFG","NewZealand","2006","0"
"AFG","Romania","2006","0"
"AFG","SaudiArabia","2006","0"
"AFG","UnitedStates","2006",".."
"AFG","Bulgaria","2007","0"
"AFG","Cyprus","2007","0.559397734733594"
"AFG","Italy","2007","0"
"AFG","Korea,Republicof","2007","0"
"AFG","Malawi","2007","0"
"AFG","NewZealand","2007","0"
"AFG","Romania","2007","0"
"AFG","SaudiArabia","2007","0"
"AFG","UnitedStates","2007","0"
"AFG","Bulgaria","2008","0"
"AFG","Cyprus","2008","0.528845752394419"
"AFG","Italy","2008","0"
"AFG","Korea,Republicof","2008","0"
"AFG","Malawi","2008","0"
"AFG","NewZealand","2008","0"
"AFG","Romania","2008","0"
"AFG","SaudiArabia","2008","0"
"AFG","UnitedStates","2008","1"
"AFG","Bulgaria","2009","0"
"AFG","Cyprus","2009","0"
"AFG","Italy","2009","80.5151587181537"
"AFG","Korea,Republicof","2009","0"
"AFG","Malawi","2009","0"
"AFG","NewZealand","2009","0"
"AFG","Romania","2009","0"
"AFG","SaudiArabia","2009","0"
"AFG","UnitedStates","2009","3"
"AFG","Bulgaria","2010","0"
